CODE,NAME,TAX RATE
AL,Alabama,$0.68
AK,Alaska,$2.00
AZ,Arizona,$2.00
AR,Arkansas,$1.15
CA,California,$0.87
CO,Colorado,$0.84
CT,Connecticut,$3.65
DE,Delaware,$1.60
DC,District of Columbia,$2.50
FL,Florida,$1.34
GA,Georgia,$0.37
HI,Hawaii,$3.20
ID,Idaho,$0.57
IL,Illinois,$1.98
IN,Indiana,$1.00
IA,Iowa,$1.36
KS,Kansas,$1.29
KY,Kentucky,$0.60
LA,Louisiana,$1.08
ME,Maine,$2.00
MD,Maryland,$2.00
MA,Massachusetts,$3.51
MI,Michigan,$2.00
MN,Minnesota,$3.00
MS,Mississippi,$0.68
MO,Missouri,$0.17
MT,Montana,$1.70
NE,Nebraska,$0.64
NV,Nevada,$1.80
NH,New Hampshire,$1.78
NJ,New Jersey,$2.70
NM,New Mexico,$1.66
NY,New York,$4.35
NC,North Carolina,$0.45
ND,North Dakota,$0.44
OH,Ohio,$1.60
OK,Oklahoma,$1.03
OR,Oregon,$1.32
PA,Pennsylvania,$1.60
RI,Rhode Island,$3.75
SC,South Carolina,$0.57
SD,South Dakota,$1.53
TN,Tennessee,$0.62
TX,Texas,$1.41
UT,Utah,$1.70
VT,Vermont,$5.80
VA,Virginia,$5.80
WA,Washington,$5.80
WV,West Virginia,$6.50
WI,Wisconsin,$6.50
WY,Wyoming,$6.50
