OBJECTID,ROADWAY,ROAD_SIDE,LNCD,DESCR,BEGIN_POST,END_POST,Shape_Leng
2049,75000403,R,1,DESIGNATED,0.076,0.364,463.2487
2050,88070000,R,1,DESIGNATED,0.073,5.21,8267.4337
2051,89010000,R,1,DESIGNATED,11.266,14.64,5430.1665
2052,89010000,R,1,DESIGNATED,23.342,24.476,1825.1312
2053,57060000,L,1,DESIGNATED,6.444,6.507,101.6744
2054,57050000,R,1,DESIGNATED,12.485,12.6,185.7312
2055,57050000,R,1,DESIGNATED,8.98,9.385,653.9896
2056,57050000,L,1,DESIGNATED,15.441,15.491,80.7363
2057,86000006,R,1,DESIGNATED,0,3.079,4964.3072
2058,86000051,L,1,DESIGNATED,0,1.036,1666.4849
2059,61630000,L,1,DESIGNATED,0.617,0.902,458.8161
2060,70004000,L,1,DESIGNATED,0.846,1.869,1649.2267
2062,72193000,R,1,DESIGNATED,0.555,0.655,160.9471
2063,72550000,L,1,DESIGNATED,3.816,4.86,1683.2966
2064,79000269,R,1,DESIGNATED,0.392,0.484,144.8253
2065,79150000,R,1,DESIGNATED,0.435,0.52,136.0103
2066,79160000,L,1,DESIGNATED,3.75,6.859,5002.3595
2067,78510000,R,1,DESIGNATED,6.198,6.639,709.7139
2068,78601000,L,1,DESIGNATED,0.114,0.16,74.0338
2069,79000010,R,1,DESIGNATED,0.819,1.845,1653.4896
2070,78060000,L,1,DESIGNATED,8.011,9.481,2367.4757
2071,78070000,R,1,DESIGNATED,14.274,17.294,4857.107
2072,75270000,R,1,DESIGNATED,3.063,7.015,6394.3199
2073,76030000,R,1,DESIGNATED,8.956,9.231,441.2701
2074,78002900,L,1,DESIGNATED,0.034,0.129,153.4937
2075,87150000,L,1,DESIGNATED,3.384,3.701,509.0936
2076,87504504,L,1,DESIGNATED,0.195,0.317,196.4563
2077,87504504,L,1,DESIGNATED,0.945,0.985,64.4064
2078,88010000,R,1,DESIGNATED,13.82,14.8,1579.0297
2079,88060000,R,1,DESIGNATED,22.875,26.17,5286.5757
2080,86030000,R,1,DESIGNATED,2.112,3.972,3001.2133
2081,86040000,L,1,DESIGNATED,11.222,13.272,3297.3846
2082,87080000,L,1,DESIGNATED,3.72,4.064,553.7113
2083,87080001,R,1,DESIGNATED,1.074,1.177,163.244
2084,87120000,R,1,DESIGNATED,6.558,9.769,5160.1127
2085,87150000,L,1,DESIGNATED,2.667,3.323,1053.4973
2086,75120003,R,1,DESIGNATED,0,0.07,115.3281
2087,75220000,R,1,DESIGNATED,0,1.726,2786.5597
2088,86000453,R,1,DESIGNATED,1.031,2.118,1749.9874
2089,86000461,L,1,DESIGNATED,0,1.1,1767.379
2090,86015000,L,1,DESIGNATED,6.805,9.304,4019.1548
2091,86020000,L,1,DESIGNATED,1.255,1.37,184.7968
2092,75000313,L,1,DESIGNATED,0.46,0.525,104.6744
2093,60020000,R,1,DESIGNATED,3.025,4.528,2425.8694
2094,60020000,L,1,DESIGNATED,25.41,26.636,1948.0733
2095,60020000,L,1,DESIGNATED,9.105,10.619,2443.6152
2096,60020000,L,1,DESIGNATED,5.078,6.085,1625.382
2097,73020000,R,1,DESIGNATED,0.63,1.235,972.5215
2098,74000021,R,1,DESIGNATED,1.415,1.715,482.6988
2099,75003000,L,1,DESIGNATED,0.652,5.009,7027.3874
2101,75000374,R,1,DESIGNATED,0.196,1.202,1618.42
2102,75000452,R,1,DESIGNATED,0.315,0.493,287.5738
2103,75000456,L,1,DESIGNATED,0.363,0.845,774.9139
2104,89000061,L,1,DESIGNATED,0,0.25,402.4109
2105,89010000,L,1,DESIGNATED,11.019,11.101,131.9559
2106,90000015,L,1,DESIGNATED,0.005,0.128,198.0165
2107,90000531,R,1,DESIGNATED,1.523,2.51,1588.7717
2108,57050000,L,1,DESIGNATED,14.977,15.051,119.4884
2109,57050000,L,1,DESIGNATED,12.6,12.741,227.683
2110,57050000,L,1,DESIGNATED,9.456,10.001,880.0054
2111,57050000,L,1,DESIGNATED,9.226,9.456,371.4157
2112,73010000,R,1,DESIGNATED,8.06,8.271,339.5747
2113,73010000,R,1,DESIGNATED,7.846,8.026,289.685
2114,79190000,R,1,DESIGNATED,0.067,1.411,2165.2306
2115,79210000,R,1,DESIGNATED,2.207,3.972,2843.8707
2116,70000056,L,1,DESIGNATED,1.941,2.062,202.6953
2117,70000417,R,1,DESIGNATED,0,0.208,334.9321
2118,72160000,R,1,DESIGNATED,3.495,4.836,2157.2443
2119,72190000,L,1,DESIGNATED,6.803,14,11549.2839
2120,79090000,L,1,DESIGNATED,0.198,1.68,2381.5189
2121,79120000,R,1,DESIGNATED,2.406,7.301,7876.0786
2122,78520000,R,1,DESIGNATED,3.687,4.019,534.3127
2123,78520000,R,1,DESIGNATED,21.007,21.217,337.9557
2124,78010000,R,1,DESIGNATED,11.85,16.064,6784.3608
2125,78040000,L,1,DESIGNATED,9.742,16.27,10505.4986
2126,77120000,R,1,DESIGNATED,5.263,6.909,2647.5885
2127,78000009,R,1,DESIGNATED,2.305,2.86,892.9853
2128,87504503,L,1,DESIGNATED,2.041,2.094,85.4151
2129,87504503,R,1,DESIGNATED,2.056,2.109,85.4027
2130,88010000,L,1,DESIGNATED,0,0.268,435.4741
2131,88010000,L,1,DESIGNATED,13.779,14.759,1579.0638
2132,87060001,R,1,DESIGNATED,0.057,0.306,400.7771
2133,87071502,L,1,DESIGNATED,0.203,1.142,1510.8566
2134,87090000,L,1,DESIGNATED,4.084,4.599,829.5011
2135,87120000,L,1,DESIGNATED,0.345,2.429,3349.0309
2136,75080000,L,1,DESIGNATED,7.938,9,1709.3887
2137,75080000,R,1,DESIGNATED,8.975,9,40.185
2138,86000432,R,1,DESIGNATED,0,2.247,3622.0672
2139,86000451,L,1,DESIGNATED,0.888,2.221,2120.0651
2140,86014000,L,1,DESIGNATED,1.208,1.448,386.1008
2141,86014000,R,1,DESIGNATED,0,1.59,2558.1669
2142,75000197,R,1,DESIGNATED,0,0.926,1486.0967
2143,75000236,R,1,DESIGNATED,3.1,3.96,1383.5907
2144,60020000,L,1,DESIGNATED,3.135,4.528,2248.3118
2145,58640000,R,1,DESIGNATED,4.783,4.866,134.3193
2146,58640000,C,1,DESIGNATED,3.967,4.272,493.4685
2147,58640000,C,1,DESIGNATED,3.516,3.858,553.3403
2148,74130000,R,1,DESIGNATED,3.822,5.782,3154.3846
2149,75000456,R,1,DESIGNATED,0,0.308,495.2835
2150,75002000,L,1,DESIGNATED,6.874,7.544,1078.6363
2151,75050000,R,1,DESIGNATED,1.109,4.139,4878.6833
2152,75000414,L,1,DESIGNATED,0,2.051,3302.2664
2153,75000452,C,1,DESIGNATED,0.679,0.864,298.7432
2154,89000056,L,1,DESIGNATED,0.552,1.419,1403.5848
2155,89000056,R,1,DESIGNATED,0.552,1.331,1261.0771
2156,89040000,R,1,DESIGNATED,0,0.24,386.3186
2157,89060000,R,1,DESIGNATED,27.075,27.11,56.2415
2158,57050000,L,1,DESIGNATED,0,0.116,187.3056
2159,57040027,R,1,DESIGNATED,1.924,2.059,217.6906
2160,57040027,L,1,DESIGNATED,1.829,2.059,370.9069
2161,57040000,R,1,DESIGNATED,19.835,19.9,104.9556
2162,57040000,R,1,DESIGNATED,16.034,19.835,6138.2618
2163,73010000,R,1,DESIGNATED,6.645,7.742,1765.5428
2164,73010000,R,1,DESIGNATED,5.898,6.544,1039.5355
2166,86000073,R,1,DESIGNATED,3.977,4.01,53.0116
2167,86000095,L,1,DESIGNATED,0,2.011,3233.325
2168,61060001,R,1,DESIGNATED,0,0.095,152.4303
2169,72100000,L,1,DESIGNATED,10.3,12.63,3752.9846
2170,72120000,R,1,DESIGNATED,3.646,5.581,3117.6005
2171,79010000,R,1,DESIGNATED,30.675,32.557,3028.0942
2172,79070000,R,1,DESIGNATED,7.739,7.82,130.0168
2173,78510000,R,1,DESIGNATED,8.03,8.395,587.4432
2174,78520000,L,1,DESIGNATED,3.687,4.019,534.3127
2175,78002900,R,1,DESIGNATED,0,0.151,243.9918
2176,78510000,L,1,DESIGNATED,6.962,7.119,252.6702
2177,78510000,L,1,DESIGNATED,8.005,8.51,812.7176
2178,77060000,L,1,DESIGNATED,1.796,5.18,5445.0235
2179,77120000,L,1,DESIGNATED,2.887,3.077,305.5782
2180,87170000,L,1,DESIGNATED,3.695,4.824,1817.0919
2181,87220000,R,1,DESIGNATED,0.373,1.167,1272.4261
2182,87504504,R,1,DESIGNATED,0.309,0.484,281.7883
2183,87504504,R,1,DESIGNATED,1.149,1.228,127.2036
2184,86050000,L,1,DESIGNATED,0.835,1.6,1231.4542
2185,86050000,R,1,DESIGNATED,0.81,1.6,1271.7843
