X,Y,OBJECTID,tvpoll_p_WARD,tvpoll_p_BLDG_NAME,tvpoll_p_ADDRESS,tvpoll_p_HANDICAP_ACCESS,tvpoll_p_SPEC_COMMENTS,tvpoll_p_ALD_DIST,tvpoll_p_PHONE_NO,tvpoll_p_SUP_DIST,tvpoll_p_SEN_DIST,tvpoll_p_ASM_DIST,tvpoll_p_BALLOT_COLOR
-89.296292229025269,43.052435173722408,2123,1,Madison Fire Station 14 ,3201 Dairy Dr,yes,Fire Station No 14 ,16,,16,16,47,47
-89.312104419558139,43.057502392455497,2124,2,Glendale Elementary,1201 Tompkins Dr,yes,LMC,16,,24,16,47,47
-89.312104419558139,43.057502392455497,2125,123,Glendale Elementary,1201 Tompkins Dr,,,16,,24,16,47,
-89.298222674169011,43.071469404652248,2126,3,City Church,4909 E Buckeye Rd,yes,Lower Level - Rear Entrance,16,,24,16,47,47
-89.298222674169011,43.071469404652248,2127,4,City Church,4909 E Buckeye Rd,yes,Lower Level - Rear Entrance,16,,24,16,48,48
-89.272639323742851,43.076239989462643,2128,7,Westminster Senior Apartments,6160 Dell Dr,yes,,16,,16,16,48,48
-89.293198877541954,43.07868772395004,2129,5,Elvehjem Elementary,5106 Academy Dr,yes,"West Hall by Gym B, Gym B used in November",16,,16,16,48,48
-89.293198877541954,43.07868772395004,2130,6,Elvehjem Elementary,5106 Academy Dr,yes,"West Hall by Gym B, Gym B used in November",16,,16,16,48,48
-89.263871619449517,43.092661865952792,2131,8,Door Creek Church,6602 Dominion Dr,yes,Gym,3,,16,16,48,48
-89.263871619449517,43.092661865952792,2132,129,Door Creek Church,6602 Dominion Dr,,,3,,16,16,48,
-89.263871619449517,43.092661865952792,2133,131,Door Creek Church,6602 Dominion Dr,,,3,,16,16,48,
-89.263871619449517,43.092661865952792,2134,134,Door Creek Church,6602 Dominion Dr,,,3,,16,16,48,
-89.28300286294018,43.089521633743587,2135,9,Oak Park Place,718 Jupiter Dr,yes,,3,,16,16,48,48
-89.28300286294018,43.089521633743587,2136,128,Oak Park Place,718 Jupiter Dr,yes,,3,,17,16,48,
-89.28300286294018,43.089521633743587,2137,130,Oak Park Place,718 Jupiter Dr,yes,,3,,17,16,48,
-89.28300286294018,43.089521633743587,2138,132,Oak Park Place,718 Jupiter Dr,yes,,3,,17,16,48,
-89.28300286294018,43.089521633743587,2139,133,Oak Park Place,718 Jupiter Dr,yes,,3,,17,16,48,
-89.296581590154048,43.094713228213067,2140,10,Kennedy Elementary,221 Meadowlark Drive,yes,"LMC for most elections, gym for November",3,,17,16,48,48
-89.31383498086619,43.103856351273627,2141,11,American Family Insurance,302 N Walbridge Ave,yes,Walbridge Room - park in front & use main entrance,3,,17,16,48,48
-89.31383498086619,43.103856351273627,2142,17,American Family Insurance,302 N Walbridge Ave,yes,Walbridge Room - park in front & use main entrance,15,,17,16,48,48
-89.30295153773659,43.089140346046285,2143,12,New Beginnings Church,602 Acewood Blvd,yes,Enter off parking lot - lower level,3,,17,16,48,48
-89.319857125228779,43.064214475346461,2144,13,LaFollette High School,700 Pflaum Rd,yes,Gym,15,,24,16,47,47
-89.319857125228779,43.064214475346461,2145,14,LaFollette High School,700 Pflaum Rd,yes,Gym,15,,24,16,48,48
-89.319857125228779,43.064214475346461,2146,15,LaFollette High School,700 Pflaum Rd,yes,Gym,15,,17,16,48,48
-89.324761065506706,43.092216672959395,2147,16,Whitehorse Middle School,218 Schenk St,yes,Gym,15,,17,16,48,48
-89.319067889603872,43.118321330002516,2148,18,Hy-Vee,3801 E Washington Ave,yes,Community Room,15,,21,16,48,48
-89.319067889603872,43.118321330002516,2149,21,Hy-Vee,3801 E Washington Ave,yes,Community Room,17,,21,16,48,48
-89.328724368099955,43.119038391457508,2150,19,East Madison Community Center,8 Straubel Ct,yes,"Drill Room, rear entrance off parking lot",15,,6,16,48,48
-89.328724368099955,43.119038391457508,2151,20,East Madison Community Center,8 Straubel Ct,yes,"Drill Room, rear entrance off parking lot",15,,6,26,76,76
-89.302586988505851,43.114837552174848,2152,22,Streets East,4602 Sycamore Ave,yes,,17,,21,16,48,48
-89.302586988505851,43.114837552174848,2153,136,Streets East,4602 Sycamore Ave,,,17,,21,16,48,
-89.279474620839167,43.144152792756913,2154,23,Fire Station #11,4011 Morgan Way,yes,,17,,21,16,48,48
-89.284052552111618,43.156657645139205,2155,24,Oakwood Villlage Prairie Ridge,5565 Tancho Dr,yes,Chapel,17,,21,16,48,48
-89.312026290930547,43.13635424998764,2156,25,Sandburg Elementary,4114 Donald Dr,yes,Gym,17,,12,16,48,48
-89.311600323028046,43.129114073282111,2157,26,Eastside Lutheran,2310 Independence Ln,yes,Gym,17,,12,16,48,48
-89.311600323028046,43.129114073282111,2158,126,Eastside Lutheran,2310 Independence Ln,,,17,,12,16,48,
-89.356956604085141,43.105775115991491,2159,27,Madison College - Commercial,2125 Commercial Ave,yes,Commons,12,,12,16,48,48
-89.356956604085141,43.105775115991491,2160,28,Madison College - Commercial,2125 Commercial Ave,yes,Commons,12,,12,26,76,76
-89.354849945196392,43.097699028433759,2161,29,East High School,2222 E Washington Ave,yes,"Fifth Street entrance, enter at door #10,Gym in November",12,,2,26,76,76
-89.362670914722145,43.117043782063838,2162,30,Sherman Middle School,1610 Ruskin St,yes,Wood Gym,12,,12,26,76,76
-89.362347480959158,43.127573180299194,2163,31,Lakeview Library,2845 N Sherman Ave,yes,Lakeview Library,12,,12,16,48,48
-89.36125144931033,43.128284355837664,2164,32,Goodwill Madison Northside,2901 N Sherman Ave,yes,,12,,12,16,48,48
-89.366927285398745,43.13204604503472,2165,33,Warner Park Community Rec Center,1625 Northport ,yes,Meeting Room,12,,18,16,48,48
-89.366927285398745,43.13204604503472,2166,34,Warner Park Community Rec Center,1625 Northport ,yes,Meeting Room,18,,18,16,48,48
-89.384831951426122,43.136908811877511,2167,35,Mendota Elementary ,4002 School Rd,yes,"Main Entranace, Gym in November",18,,18,16,48,48
-89.384831951426122,43.136908811877511,2168,36,Mendota Elementary ,4002 School Rd,yes,"Main Entrance, Gym in November",18,,18,16,48,48
-89.389208340179422,43.143676259289506,2169,37,Lindbergh Elementary,4500 Kennedy Rd,yes,Gym,18,,18,16,48,48
-89.36952873732173,43.146991017568936,2170,38,Blackhawk Middle School,1402 Wyoming Way,yes,LMC,18,,18,16,48,48
-89.36952873732173,43.146991017568936,2171,112,Blackhawk Middle School,1402 Wyoming Way,yes,LMC,18,,21,27,79,79
-89.36952873732173,43.146991017568936,2172,118,Blackhawk Middle School,1402 Wyoming Way,,,18,,18,16,48,
