date,price
1950-01-01,34.73
1950-02-01,34.73
1950-03-01,34.73
1950-04-01,34.73
1950-05-01,34.73
1950-06-01,34.73
1950-07-01,34.73
1950-08-01,34.73
1950-09-01,34.73
1950-10-01,34.73
1950-11-01,34.73
1950-12-01,34.72
1951-01-01,34.72
1951-02-01,34.73
1951-03-01,34.73
1951-04-01,34.73
1951-05-01,34.73
1951-06-01,34.73
1951-07-01,34.72
1951-08-01,34.71
1951-09-01,34.71
1951-10-01,34.71
1951-11-01,34.73
1951-12-01,34.66
1952-01-01,34.49
1952-02-01,34.49
1952-03-01,34.68
1952-04-01,34.82
1952-05-01,34.73
1952-06-01,34.53
1952-07-01,34.57
1952-08-01,34.58
1952-09-01,34.51
1952-10-01,34.63
1952-11-01,34.72
1952-12-01,34.79
1953-01-01,34.88
1953-02-01,34.95
1953-03-01,34.92
1953-04-01,34.93
1953-05-01,34.90
1953-06-01,34.89
1953-07-01,34.91
1953-08-01,34.91
1953-09-01,34.76
1953-10-01,34.79
1953-11-01,34.86
1953-12-01,34.85
1954-01-01,34.86
1954-02-01,34.88
1954-03-01,34.92
1954-04-01,35.04
1954-05-01,35.08
1954-06-01,35.07
1954-07-01,35.08
1954-08-01,35.05
1954-09-01,35.08
1954-10-01,35.08
1954-11-01,35.06
1954-12-01,35.04
1955-01-01,35.04
1955-02-01,35.05
1955-03-01,35.06
1955-04-01,35.05
1955-05-01,35.05
1955-06-01,35.04
1955-07-01,35.05
1955-08-01,35.03
1955-09-01,34.98
1955-10-01,34.98
1955-11-01,34.98
1955-12-01,34.97
1956-01-01,34.99
1956-02-01,34.99
1956-03-01,34.99
1956-04-01,34.98
1956-05-01,34.99
1956-06-01,34.98
1956-07-01,35.00
1956-08-01,35.02
1956-09-01,35.01
1956-10-01,35.02
1956-11-01,34.98
1956-12-01,34.90
1957-01-01,34.88
1957-02-01,34.89
1957-03-01,34.91
1957-04-01,34.92
1957-05-01,34.93
1957-06-01,34.99
1957-07-01,34.99
1957-08-01,34.97
1957-09-01,34.96
1957-10-01,34.97
1957-11-01,34.97
1957-12-01,34.99
1958-01-01,35.01
1958-02-01,35.08
1958-03-01,35.09
1958-04-01,35.10
1958-05-01,35.11
1958-06-01,35.10
1958-07-01,35.11
1958-08-01,35.10
1958-09-01,35.10
1958-10-01,35.11
1958-11-01,35.10
1958-12-01,35.09
1959-01-01,35.07
1959-02-01,35.06
1959-03-01,35.06
1959-04-01,35.08
1959-05-01,35.12
1959-06-01,35.12
1959-07-01,35.13
1959-08-01,35.12
1959-09-01,35.13
1959-10-01,35.10
1959-11-01,35.06
1959-12-01,35.05
1960-01-01,35.09
1960-02-01,35.09
1960-03-01,35.09
1960-04-01,35.11
1960-05-01,35.10
1960-06-01,35.09
1960-07-01,35.10
1960-08-01,35.13
1960-09-01,35.22
1960-10-01,35.78
1960-11-01,35.82
1960-12-01,35.54
1961-01-01,35.56
1961-02-01,35.17
1961-03-01,35.08
1961-04-01,35.08
1961-05-01,35.06
1961-06-01,35.07
1961-07-01,35.11
1961-08-01,35.16
1961-09-01,35.19
1961-10-01,35.19
1961-11-01,35.19
1961-12-01,35.15
1962-01-01,35.16
1962-02-01,35.13
1962-03-01,35.09
1962-04-01,35.08
1962-05-01,35.08
1962-06-01,35.10
1962-07-01,35.12
1962-08-01,35.12
1962-09-01,35.13
1962-10-01,35.14
1962-11-01,35.09
1962-12-01,35.08
1963-01-01,35.06
1963-02-01,35.08
1963-03-01,35.10
1963-04-01,35.10
1963-05-01,35.08
1963-06-01,35.08
1963-07-01,35.09
1963-08-01,35.10
1963-09-01,35.08
1963-10-01,35.08
1963-11-01,35.08
1963-12-01,35.08
1964-01-01,35.08
1964-02-01,35.08
1964-03-01,35.08
1964-04-01,35.08
1964-05-01,35.08
1964-06-01,35.08
1964-07-01,35.08
1964-08-01,35.08
1964-09-01,35.09
1964-10-01,35.11
1964-11-01,35.10
1964-12-01,35.12
1965-01-01,35.13
1965-02-01,35.14
1965-03-01,35.16
1965-04-01,35.14
1965-05-01,35.10
1965-06-01,35.10
1965-07-01,35.12
1965-08-01,35.15
1965-09-01,35.14
1965-10-01,35.11
1965-11-01,35.11
1965-12-01,35.13
1966-01-01,35.15
1966-02-01,35.17
1966-03-01,35.15
1966-04-01,35.13
1966-05-01,35.12
1966-06-01,35.15
1966-07-01,35.18
1966-08-01,35.18
1966-09-01,35.19
1966-10-01,35.16
1966-11-01,35.16
1966-12-01,35.18
1967-01-01,35.18
1967-02-01,35.17
1967-03-01,35.16
1967-04-01,35.17
1967-05-01,35.18
1967-06-01,35.19
1967-07-01,35.19
1967-08-01,35.19
1967-09-01,35.19
1967-10-01,35.19
1967-11-01,35.20
1967-12-01,35.19
1968-01-01,35.18
1968-02-01,35.20
1968-03-01,35.20
1968-04-01,37.878
1968-05-01,40.691
1968-06-01,41.111
1968-07-01,39.530
1968-08-01,39.170
1968-09-01,40.203
1968-10-01,39.210
1968-11-01,39.795
1968-12-01,41.113
1969-01-01,42.291
1969-02-01,42.616
1969-03-01,43.171
1969-04-01,43.295
1969-05-01,43.461
1969-06-01,41.442
