Agency Name,agencyCode,,,
Department of Agriculture,005,,,
Department of Commerce,006,,,
Department of Defense,007,,,
Department of Health and Human Services,009,,,
Department of the Interior,010,,,
Department of Justice,011,,,
Department of Labor,012,,,
Department of State ,014,,,
Department of the Treasury,015,,,
Social Security Administration,016,,,
Department of Education,018,,,
Department of Energy,019,,,
Department of Energy ,019,,,
Environmental Protection Agency ,020,,,
Environmental Protection Agency,020,,,
Department of Transportation,021,,,
General Services Administration,023,,,
Department of Homeland Security,024,,,
Department of Housing and Urban Development,025,,,
National Aeronautics and Space Administration,026,,,
Office of Personnel Management,027,,,
Small Business Administration,028,,,
Department of Veterans Affairs,029,,,
USAID-State,184,,,
US Army Corps of Engineers,202,,,
National Science Foundation,422,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
