state, total.foreclosures, foreclosure.ratio 
Nevada,5931,198
California,51584,265
Arizona,8749,325
Georgia,12467,328
Michigan,12808,354
Florida,24783,363
Illinois,14349,369
Delaware,1088,373
Colorado,4228,523
Indiana,5039,555
New Hampshire,1053,584
Ohio,8325,616
Utah,1584,619
Wisconsin,4231,620
South Carolina,3286,651
Idaho,861,776
Minnesota,3017,778
Hawaii,652,797
Iowa,1365,979
Oregon,1630,1028
New Mexico,876,1029
Louisiana,1870,1051
Missouri,2525,1074
Texas,9085,1098
Virginia,3033,1109
Massachusetts,2357,1191
Pennsylvania,4566,1219
Oklahoma,1357,1227
Rhode Island,374,1239
Kansas,967,1275
Tennessee,2107,1335
Connecticut,1067,1394
Washington,2022,1427
Alabama,1489,1459
Nebraska,529,1506
North Carolina,2541,1703
Kentucky,1068,1804
Maryland,1252,1900
New Jersey,1734,2049
Alaska,140,2134
South Dakota,137,2653
Wyoming,82,3194
Montana,128,3772
Maine,190,3799
Mississippi,293,4351
Arkansas,274,4804
New York,1672,4849
West Virginia,148,5959
Vermont,15,21503
District of Columbia,8,37090
North Dakota,5,63500
