Year,Percent,95 percent CI Lower Limit,95 percent CI Upper Limit,Measure
2000,7.5,6.5,8.4,Current Asthma Prevalence
2001,7.2,6.4,8.1,Current Asthma Prevalence
2002,6.6,5.7,7.4,Current Asthma Prevalence
2003,8.5,7.4,9.5,Current Asthma Prevalence
2004,7.9,7,8.8,Current Asthma Prevalence
2005,7.6,6.8,8.3,Current Asthma Prevalence
2006,8.5,6.7,10.3,Current Asthma Prevalence
2007,7.9,6.9,8.8,Current Asthma Prevalence
2008,8.5,7.7,9.2,Current Asthma Prevalence
2009,8.2,7.7,8.8,Current Asthma Prevalence
2010,7.9,7.4,8.5,Current Asthma Prevalence
2011,8,7.6,8.9,Current Asthma Prevalence
2012,14.5,13.8,15.2,Lifetime Asthma Prevalence
2013,15.1,14.2,15.9,Lifetime Asthma Prevalence
2014,13.4,12.2,14.5,Lifetime Asthma Prevalence
2015,13.2,12.3,14.2,Lifetime Asthma Prevalence
2016,13.6,12.4,14.8,Lifetime Asthma Prevalence
2017,16.0,14.3,17.7,Lifetime Asthma Prevalence
2012,9.0,8.4,9.5,Current Asthma Prevalence
2013,9.0,8.4,9.7,Current Asthma Prevalence
2014,7.8,6.9,8.7,Current Asthma Prevalence
2015,8.0,7.2,8.7,Current Asthma Prevalence
2016,8.0,7.1,9.0,Current Asthma Prevalence
2017,8.8,7.6,10.1,Current Asthma Prevalence
2018,9.0,7.8,10.5,Current Asthma Prevalence
2019,9.3,7.9,10.6,Current Asthma Prevalence
2020,9.8,8.0,10.8,Current Asthma Prevalence
