"X","Y","OBJECTID","tvpoll_p_WARD","tvpoll_p_BLDG_NAME","tvpoll_p_ADDRESS","tvpoll_p_HANDICAP_ACCESS","tvpoll_p_SPEC_COMMENTS","tvpoll_p_ALD_DIST","tvpoll_p_PHONE_NO","tvpoll_p_SUP_DIST","tvpoll_p_SEN_DIST","tvpoll_p_ASM_DIST","tvpoll_p_BALLOT_COLOR"
-89.296292229,43.0524351737,2123,1,"Madison Fire Station 14 ","3201 Dairy Dr","yes","Fire Station No 14 ",16,,16,16,47,47
-89.3121044196,43.0575023925,2124,2,"Glendale Elementary","1201 Tompkins Dr","yes","LMC",16,,24,16,47,47
-89.3121044196,43.0575023925,2125,123,"Glendale Elementary","1201 Tompkins Dr",,,16,,24,16,47,
-89.2982226742,43.0714694047,2126,3,"City Church","4909 E Buckeye Rd","yes","Lower Level - Rear Entrance",16,,24,16,47,47
-89.2982226742,43.0714694047,2127,4,"City Church","4909 E Buckeye Rd","yes","Lower Level - Rear Entrance",16,,24,16,48,48
-89.2726393237,43.0762399895,2128,7,"Westminster Senior Apartments","6160 Dell Dr","yes",,16,,16,16,48,48
-89.2931988775,43.078687724,2129,5,"Elvehjem Elementary","5106 Academy Dr","yes","West Hall by Gym B, Gym B used in November",16,,16,16,48,48
-89.2931988775,43.078687724,2130,6,"Elvehjem Elementary","5106 Academy Dr","yes","West Hall by Gym B, Gym B used in November",16,,16,16,48,48
-89.2638716194,43.092661866,2131,8,"Door Creek Church","6602 Dominion Dr","yes","Gym",3,,16,16,48,48
-89.2638716194,43.092661866,2132,129,"Door Creek Church","6602 Dominion Dr",,,3,,16,16,48,
-89.2638716194,43.092661866,2133,131,"Door Creek Church","6602 Dominion Dr",,,3,,16,16,48,
-89.2638716194,43.092661866,2134,134,"Door Creek Church","6602 Dominion Dr",,,3,,16,16,48,
-89.2830028629,43.0895216337,2135,9,"Oak Park Place","718 Jupiter Dr","yes",,3,,16,16,48,48
-89.2830028629,43.0895216337,2136,128,"Oak Park Place","718 Jupiter Dr","yes",,3,,17,16,48,
-89.2830028629,43.0895216337,2137,130,"Oak Park Place","718 Jupiter Dr","yes",,3,,17,16,48,
-89.2830028629,43.0895216337,2138,132,"Oak Park Place","718 Jupiter Dr","yes",,3,,17,16,48,
-89.2830028629,43.0895216337,2139,133,"Oak Park Place","718 Jupiter Dr","yes",,3,,17,16,48,
-89.2965815902,43.0947132282,2140,10,"Kennedy Elementary","221 Meadowlark Drive","yes","LMC for most elections, gym for November",3,,17,16,48,48
-89.3138349809,43.1038563513,2141,11,"American Family Insurance","302 N Walbridge Ave","yes","Walbridge Room - park in front & use main entrance",3,,17,16,48,48
-89.3138349809,43.1038563513,2142,17,"American Family Insurance","302 N Walbridge Ave","yes","Walbridge Room - park in front & use main entrance",15,,17,16,48,48
-89.3029515377,43.089140346,2143,12,"New Beginnings Church","602 Acewood Blvd","yes","Enter off parking lot - lower level",3,,17,16,48,48
-89.3198571252,43.0642144753,2144,13,"LaFollette High School","700 Pflaum Rd","yes","Gym",15,,24,16,47,47
-89.3198571252,43.0642144753,2145,14,"LaFollette High School","700 Pflaum Rd","yes","Gym",15,,24,16,48,48
-89.3198571252,43.0642144753,2146,15,"LaFollette High School","700 Pflaum Rd","yes","Gym",15,,17,16,48,48
-89.3247610655,43.092216673,2147,16,"Whitehorse Middle School","218 Schenk St","yes","Gym",15,,17,16,48,48
-89.3190678896,43.11832133,2148,18,"Hy-Vee","3801 E Washington Ave","yes","Community Room",15,,21,16,48,48
-89.3190678896,43.11832133,2149,21,"Hy-Vee","3801 E Washington Ave","yes","Community Room",17,,21,16,48,48
-89.3287243681,43.1190383915,2150,19,"East Madison Community Center","8 Straubel Ct","yes","Drill Room, rear entrance off parking lot",15,,6,16,48,48
-89.3287243681,43.1190383915,2151,20,"East Madison Community Center","8 Straubel Ct","yes","Drill Room, rear entrance off parking lot",15,,6,26,76,76
-89.3025869885,43.1148375522,2152,22,"Streets East","4602 Sycamore Ave","yes",,17,,21,16,48,48
-89.3025869885,43.1148375522,2153,136,"Streets East","4602 Sycamore Ave",,,17,,21,16,48,
-89.2794746208,43.1441527928,2154,23,"Fire Station #11","4011 Morgan Way","yes",,17,,21,16,48,48
-89.2840525521,43.1566576451,2155,24,"Oakwood Villlage Prairie Ridge","5565 Tancho Dr","yes","Chapel",17,,21,16,48,48
-89.3120262909,43.13635425,2156,25,"Sandburg Elementary","4114 Donald Dr","yes","Gym",17,,12,16,48,48
-89.311600323,43.1291140733,2157,26,"Eastside Lutheran","2310 Independence Ln","yes","Gym",17,,12,16,48,48
-89.311600323,43.1291140733,2158,126,"Eastside Lutheran","2310 Independence Ln",,,17,,12,16,48,
